generation,fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13
26,0.78,0.47067031193486153,0.10865065817666475,1.0,-0.07026805604649194,-0.0962839041896634,0.307056049000739,-0.08121719729246168,-0.05836081003799072,0.015841466812615466,-0.7295724412296678,0.7819625981523101,-0.09108598699536102,-0.8546341181020295,0.8765051387787263
27,0.76,0.8513204518176274,0.2634224901374332,0.5228326246048255,-0.23992512348325654,-0.048540734257143225,0.3266580489670598,0.023936299645275314,-0.07676805886767438,-0.0561992231041028,-1.0,0.897088806078365,-0.25062696697690773,-0.878764237269751,0.7123528245164439
28,0.73,0.5955125452052147,-0.06169164665708221,0.7322133023589404,-0.3254053527823065,-0.27942127612208,-0.21435217669877094,0.10971912209136069,-0.16892858644992467,-0.19415778460731592,-0.9979510606822964,0.5609169634379927,-0.2644218744645775,-0.9439010264879756,0.6106072090124032
29,0.76,0.9106317208050088,0.3969504893662796,0.3780299241883645,-0.5482876722472906,-0.2150518126379486,0.07471297760178669,0.24467795740740983,-0.1659097723121417,-0.1852159490443873,-1.0,0.9464001001007117,-0.2334553123009288,-0.9287439520100358,0.9670940494887124
30,0.81,0.8853118592712659,0.08780916137003722,0.6312460063383327,-0.2387786639259858,-0.19829961864043272,0.26380744458436806,-0.1701838013773867,-0.17609930803424234,-0.19036900044249122,-1.0,0.7310601928229592,-0.2990103008563042,-0.8229684825762924,0.5760261777258697
31,0.73,0.7141537256168835,0.33890349889739635,1.0,-0.2704353398513408,-0.21670350673453645,0.12260449088486317,0.35980024534830557,-0.6634848248192924,-0.59751475532864,-0.9196752043630652,0.6649132336863048,-0.3572051629748576,-0.5890011386471472,0.8974763791084782
32,0.72,0.6529948364946107,0.22815341025827077,0.3508337937172004,-0.23359080671885207,-0.36579578553198816,0.18085054932638805,0.1488965416460767,-0.3646416207442516,-0.5174841995971986,-0.9993506272083774,0.9852549005537978,-0.16841209199103557,-0.7822034718031963,0.5970342947736077
33,0.75,0.587744432153584,0.454314201335912,0.8520776001633179,-0.552237965003224,-0.4166936268257957,0.17761707210545763,0.09227040569920081,-0.4050934777789994,-0.9377347646170346,-1.0,1.0,-0.11243024400228718,-0.644843263577186,0.2984876268380091
34,0.69,0.6291106288285085,0.2639359260107405,1.0,-0.30602147342434854,-0.37951112561241857,-0.09109892454085865,0.15916689166018844,-0.4771348222712648,-0.6766102349587032,-0.9835493719555096,0.9082099448011853,-0.214358107966403,-0.7067558812011389,0.2685373008479006
35,0.71,0.803950483103746,0.13497859403791893,0.38722873574168215,0.02143655622023624,-0.14570936642306054,0.12783355387202291,-0.16326764660373266,-0.4578465821167013,-0.4793592910244414,-1.0,1.0,0.018981490875602136,-0.5987165495416679,0.45519623374915547
36,0.68,0.8406016006429884,-0.003642044245474054,0.7937477869127822,-0.4168431573995611,-0.467475944233919,-0.10930677061848383,-0.26079013096239295,-0.2023686793170859,-0.31969880132808687,-1.0,0.9189771843953357,-0.32620856687553557,-0.4455355513755628,0.48063243715052967
37,0.7,0.8307226436268309,0.4724392991231165,1.0,-0.22604075063620724,-0.9026808091820868,0.006096035129088392,0.3458088062831035,-0.3383966388908324,-1.0,-0.9184589586998186,1.0,-0.35948990738182685,-0.8897959007306142,0.42974927823654385
38,0.66,0.7231597910125673,0.2016834008577732,0.9408128635889708,-0.4938101542183037,-0.28301240256701465,-0.1066730583618153,0.19481091943073064,-0.5260039520829821,-0.6812832071531334,-1.0,0.9340937695264909,-0.22803171119735866,-0.736043519361323,0.16054508019430883
